Kode Grup,Grup KRO,Kode Jenis,Jenis KRO,Definisi Jenis KRO,No.,Kode  KRO (Non PN),Kode  KRO (PN),KRO,Definisi KRO,Satuan,KODE RO*,Definisi RO,CONTOH DAN REFERENSI NOMENKLATUR RO,KARAKTERISTIK RO, BESARAN (Rp.) 
A,Kerangka Regulasi,A,Peraturan,Peraturan Perundang-undangan adalah peraturan tertulis yang memuat norma hukum yang mengikat secara umum dan dibentuk atau ditetapkan oleh lembaga negara atau pejabat yang berwenang melalui prosedur yang ditetapkan dalam Peraturan Perundang-undangan,1,AAA,PAA,Undang-Undang,"Undang-undang adalah Peraturan Perundang- undangan yang dibentuk oleh Dewan Perwakilan Rakyat dengan persetujuan bersama Presiden, termasuk di dalamnya rancangan undang-undang, dan tidak termasuk di dalamnya naskah akademis dalam rangka penyusunan undang-undang"," UU, RUU","A01 s.d. A49
",Untuk penyusunan undang-undang yang memiliki tidak lebih dari 50 (lima puluh) pasal dan/atau melibatkan tidak lebih dari 5 (lima) kementerian/lembaga/ instansi (bersifat sederhana),"Nomenklatur RO menyebutkan secara spesifik dan jelas, nama dari rancangan undang-undang yang akan disusun.
Nomenklatur RO dimulai dengan frasa:
- Undang - Undang tentang/mengenai ...
- RUU tentang/mengenai…
Contoh
- RUU Tentang   Revisi Undang-Undang Nomor 35 Tahun 2009 tentang Narkotika
- RUU mengenai Kitab Undang-Undang Hukum Pidana Militer",RO SBKU," 600,000,000 "
A,Kerangka Regulasi,A,Peraturan,Peraturan Perundang-undangan adalah peraturan tertulis yang memuat norma hukum yang mengikat secara umum dan dibentuk atau ditetapkan oleh lembaga negara atau pejabat yang berwenang melalui prosedur yang ditetapkan dalam Peraturan Perundang-undangan,,AAA,PAA,Undang-Undang,"Undang-undang adalah Peraturan Perundang- undangan yang dibentuk oleh Dewan Perwakilan Rakyat dengan persetujuan bersama Presiden, termasuk di dalamnya rancangan undang-undang, dan tidak termasuk di dalamnya naskah akademis dalam rangka penyusunan undang-undang"," UU, RUU",A50 s.d. A99 ,Untuk penyusunan undang-undang yang memiliki  lebih dari  50 (lima puluh) pasal dan melibatkan lebih dari 5  (lima) kementerian/lembaga/ instansi (bersifat kompleks),"Nomenklatur RO menyebutkan secara spesifik dan jelas, nama dari rancangan undang-undang yang akan disusun.
Nomenklatur RO dimulai dengan frasa:
- Undang - Undang tentang/mengenai ...
- RUU tentang/mengenai…
Contoh
- RUU Tentang   Revisi Undang-Undang Nomor 35 Tahun 2009 tentang Narkotika
- RUU mengenai Kitab Undang-Undang Hukum Pidana Militer",RO SBKU," 945,000,000 "
A,Kerangka Regulasi,A,Peraturan,Peraturan Perundang-undangan adalah peraturan tertulis yang memuat norma hukum yang mengikat secara umum dan dibentuk atau ditetapkan oleh lembaga negara atau pejabat yang berwenang melalui prosedur yang ditetapkan dalam Peraturan Perundang-undangan,2,AAB,PAB,"Peraturan Pemerintah Pengganti Undang-Undang
","Peraturan Pemerintah Pengganti Undang-Undang adalah Peraturan Perundang-undangan yang ditetapkan oleh Presiden dalam hal ihwal kegentingan yang memaksa, termasuk di dalamnya rancangan peraturan pemerintah pengganti undang-undang, dan tidak termasuk di dalamnya naskah akademis dalam rangka penyusunan peraturan pemerintah pengganti undang - undang",Perppu,RO Teknis,"Kode RO yang tidak distandarisasikan, tetap menggunakan 3 (tiga) digit angka arab dimulai dari 001, 002, dst","Nomenklatur RO menyebutkan secara spesifik dan jelas, nama dari RO perppu yang akan disusun.
Nomenklatur RO dimulai dengan frasa:
- Peraturan Pemerintah Pengganti Undang - Undang (Perppu) tentang/mengenai ....
Contoh:
Peraturan Pemerintah Pengganti Undang-Undang (Perppu) tentang/mengenai Keuangan Negara dan Stabilitas Sistem Keuangan",RO Teknis, - 
A,Kerangka Regulasi,A,Peraturan,Peraturan Perundang-undangan adalah peraturan tertulis yang memuat norma hukum yang mengikat secara umum dan dibentuk atau ditetapkan oleh lembaga negara atau pejabat yang berwenang melalui prosedur yang ditetapkan dalam Peraturan Perundang-undangan,3,AAC,PAC,Peraturan Pemerintah,"Peraturan Pemerintah adalah Peraturan Perundang- undangan yang ditetapkan oleh Presiden untuk menjalankan Undang-Undang sebagaimana mestinya, termasuk di dalamnya rancangan peraturan presiden,   dan tidak termasuk di dalamnya naskah akademis dalam rangka penyusunan peraturan pemerintah","PP, RPP","B01 s.d. B49
",Untuk penyusunan peraturan pemerintah yang memiliki tidak lebih dari 25 (dua puluh lima) pasal dan/atau melibatkan tidak lebih dari 5 (lima) kementerian/lembaga/ instansi (bersifat sederhana),"Nomenklatur RO menyebutkan secara spesifik dan jelas, nama dari peraturan pemerintah yang akan disusun.
Nomenklatur RO dimulai dengan frasa:
- Peraturan Pemerintah tentang/mengenai ...
- Rancangan Peraturan Pemerintah tentang/mengenai …
Contoh:
- Peraturan Pemerintah mengenai Pelaksanaan dan Pertanggungjawaban Keuangan Daerah
- Perubahan Peraturan Pemerintah Mengenai Penyusunan Rencana Kerja dan Anggaran",RO SBKU," 260,000,000 "
A,Kerangka Regulasi,A,Peraturan,Peraturan Perundang-undangan adalah peraturan tertulis yang memuat norma hukum yang mengikat secara umum dan dibentuk atau ditetapkan oleh lembaga negara atau pejabat yang berwenang melalui prosedur yang ditetapkan dalam Peraturan Perundang-undangan,,AAC,PAC,Peraturan Pemerintah,"Peraturan Pemerintah adalah Peraturan Perundang- undangan yang ditetapkan oleh Presiden untuk menjalankan Undang-Undang sebagaimana mestinya, termasuk di dalamnya rancangan peraturan presiden,   dan tidak termasuk di dalamnya naskah akademis dalam rangka penyusunan peraturan pemerintah","PP, RPP",B50 s.d. B99 ,Untuk penyusunan peraturan pemerintah yang memilikil lebih dari 25 (dua puluh lima) pasal dan melibatkan lebih dari 5  (lima) kementerian/lembaga/ instansi (bersifat kompleks),"Nomenklatur RO menyebutkan secara spesifik dan jelas, nama dari peraturan pemerintah yang akan disusun.
Nomenklatur RO dimulai dengan frasa:
- Peraturan Pemerintah tentang/mengenai ...
- Rancangan Peraturan Pemerintah tentang/mengenai …
Contoh:
- Peraturan Pemerintah mengenai Pelaksanaan dan Pertanggungjawaban Keuangan Daerah
- Perubahan Peraturan Pemerintah Mengenai Penyusunan Rencana Kerja dan Anggaran",RO SBKU," 520,000,000 "
A,Kerangka Regulasi,A,Peraturan,Peraturan Perundang-undangan adalah peraturan tertulis yang memuat norma hukum yang mengikat secara umum dan dibentuk atau ditetapkan oleh lembaga negara atau pejabat yang berwenang melalui prosedur yang ditetapkan dalam Peraturan Perundang-undangan,4,AAD,PAD,Peraturan Presiden,"Peraturan Presiden adalah Peraturan Perundang- undangan yang ditetapkan oleh Presiden untuk menjalankan perintah Peraturan Perundang- undangan yang lebih tinggi atau dalam menyelenggarakan kekuasaan pemerintahan, termasuk di dalamnya rancangan peraturan presiden","PerPres, RaPerpres",C01 s.d. C49 ,Untuk penyusunan peraturan presiden yang memiliki tidak lebih dari 25 (dua puluh lima) pasal dan/atau melibatkan tidak lebih dari 5 (lima) kementerian/lembaga/ instansi (bersifat sederhana),"Nomenklatur RO menyebutkan secara spesifik dan jelas, nama dari peraturan presiden yang akan disusun.
Nomenklatur RO dimulai dengan frasa:
- Peraturan Presiden tentang/mengenai ...
- Rancangan Peraturan Presiden tentang/mengenai …
Contoh:
- Peraturan Presiden mengenai Rincian Alokasi Transfer ke  Daerah dan Dana Desa
- Revisi Perpres Nomor 107/2013 tentang Pelayanan Kesehatan tertentu Berkaitan dengan Kegiatan Operasional Kementerian Pertahanan, Tentara Nasional Indonesia, dan Kepolisian Negara Republik Indonesia",RO SBKU," 220,000,000 "
A,Kerangka Regulasi,A,Peraturan,Peraturan Perundang-undangan adalah peraturan tertulis yang memuat norma hukum yang mengikat secara umum dan dibentuk atau ditetapkan oleh lembaga negara atau pejabat yang berwenang melalui prosedur yang ditetapkan dalam Peraturan Perundang-undangan,,AAD,PAD,Peraturan Presiden,"Peraturan Presiden adalah Peraturan Perundang- undangan yang ditetapkan oleh Presiden untuk menjalankan perintah Peraturan Perundang- undangan yang lebih tinggi atau dalam menyelenggarakan kekuasaan pemerintahan, termasuk di dalamnya rancangan peraturan presiden","PerPres, RaPerpres",C50 s.d. C99 ,Untuk penyusunan peraturan presiden yang memiliki lebih dari 25 (dua puluh lima) pasal dan melibatkan lebih dari 5  (lima) kementerian/lembaga/ instansi (bersifat kompleks),"Nomenklatur RO menyebutkan secara spesifik dan jelas, nama dari peraturan presiden yang akan disusun.
Nomenklatur RO dimulai dengan frasa:
- Peraturan Presiden tentang/mengenai ...
- Rancangan Peraturan Presiden tentang/mengenai …
Contoh:
- Peraturan Presiden mengenai Rincian Alokasi Transfer ke  Daerah dan Dana Desa
- Revisi Perpres Nomor 107/2013 tentang Pelayanan Kesehatan tertentu Berkaitan dengan Kegiatan Operasional Kementerian Pertahanan, Tentara Nasional Indonesia, dan Kepolisian Negara Republik Indonesia",RO SBKU," 440,000,000 "
A,Kerangka Regulasi,A,Peraturan,Peraturan Perundang-undangan adalah peraturan tertulis yang memuat norma hukum yang mengikat secara umum dan dibentuk atau ditetapkan oleh lembaga negara atau pejabat yang berwenang melalui prosedur yang ditetapkan dalam Peraturan Perundang-undangan,5,AAE,PAE,Keputusan Presiden,"Keputusan Presiden adalah Keputusan yang bersifat konkret, individual dan sekali selesai mengenai suatu hal tertentu yang ditetapkan oleh Presiden. KRO ini tidak untuk menampung RO yang bersifat output antara, aktivitas/ kegiatan, kajian atau peraturan turunan sebagai implikasi dari suatu keputusan presiden.", KepPres,RO Teknis,"Kode RO yang tidak distandarisasikan, tetap menggunakan 3 (tiga) digit angka arab dimulai dari 001, 002, dst","Nomenklatur RO menyebutkan secara spesifik dan jelas, nama dari RO keputusan presiden yang akan disusun.
Nomenklatur RO dimulai dengan frasa:
- Keputusan Presiden tentang/mengenai …
Contoh:
- Keputusan Presiden mengenai Penetapan Bencana Non-Alam Penyebaran Corona Virus Disease  2019 (COVID-19) Sebagai Bencana Nasional
- Keputusan Presiden mengenai Pemberian Gelar, Tanda Jasa, dan Tanda Kehormatan",RO Teknis, - 
A,Kerangka Regulasi,A,Peraturan,Peraturan Perundang-undangan adalah peraturan tertulis yang memuat norma hukum yang mengikat secara umum dan dibentuk atau ditetapkan oleh lembaga negara atau pejabat yang berwenang melalui prosedur yang ditetapkan dalam Peraturan Perundang-undangan,6,AAF,PAF,Instruksi Presiden,"Instruksi Presiden merupakan Kebijakan Presiden berupa instruksi dan arahan mengenai suatu hal tertentu berkaitan dengan pelaksanaan tugas dan fungsi pemerintahan. KRO ini tidak bertujuan untuk menampung RO yang bersifat output antara, aktivitas/kegiatan, kajian atau peraturan turunan sebagai implikasi dari suatu instruksi presiden.", InPres,RO Teknis,"Kode RO yang tidak distandarisasikan, tetap menggunakan 3 (tiga) digit angka arab dimulai dari 001, 002, dst","Nomenklatur RO menyebutkan secara spesifik dan jelas, nama dari RO instruksi presiden yang akan disusun.
Nomenklatur RO dimulai dengan frasa:
- Instruksi Presiden tentang/mengenai …
Contoh:
Instruksi Presiden tentang Percepatan Peningkatan Konektivitas Jalan Daerah",RO Teknis, - 
A,Kerangka Regulasi,A,Peraturan,Peraturan Perundang-undangan adalah peraturan tertulis yang memuat norma hukum yang mengikat secara umum dan dibentuk atau ditetapkan oleh lembaga negara atau pejabat yang berwenang melalui prosedur yang ditetapkan dalam Peraturan Perundang-undangan,7,AAG,PAG,"Peraturan Menteri dan Kepala Lembaga
","Peraturan Menteri dan Peraturan Kepala Lembaga adalah Peraturan yang ditetapkan oleh menteri/kepala badan/kepala lembaga berdasarkan materi muatan dalam rangka penyelenggaraan urusan tertentu
dalam pemerintahan","PerMen, PerKa",D01 s.d. D99,Untuk penyusunan peraturan menteri atau peraturan kepala lembaga yang bersifat mengatur dan mengikat hanya ke dalam kementerian/lembaga berkenaan (internal),"Nomenklatur RO menyebutkan secara spesifik dan jelas, nama dari peraturan menteri atau peraturan kepala lembaga yang akan disusun. Nomenklatur RO juga mencantumkan nama Kementerian/Lembaga.
Nomenklatur RO dimulai dengan frasa:
- Peraturan Menteri tentang/mengenai ...
- Peraturan Kepala tentang/mengenai ...
Contoh:
- Peraturan menteri mengenai Pedoman Penyusunan Rencana Kerja Pemerintah Daerah Tahun 2022
- Peraturan menteri di bidang politik hukum",RO SBKU," 100,000,000 "
